,Premise,Hypothesis,Label,Time Diff,Type,Prem Fixed,Temp Type
850,18時以前彼は仕事を辞めた。,23時以降彼は仕事を辞めた。,Contradiction,0.2083333333333333,SINGLE_day_time_24,False,Forward Past
870,11日以前彼は仕事を辞めた。,19日以降彼は仕事を辞めた。,Contradiction,0.2857142857142857,SINGLE_date,False,Forward Past
881,午後1時に会議が開催された。,20時以前会議が開催された。,Entailment,0.3333333333333333,MULTI_day_time,True,Forward Past
893,2時以前会議が開催された。,午前4時以降会議が開催された。,Contradiction,0.0416666666666666,MULTI_day_time,False,Forward Past
959,1986年以降、会議が開催された。,1941年以降、会議が開催された。,Entailment,0.4455445544554455,SINGLE_year,False,Backward Past
963,午後9時に会議が開催された。,午後10時以降会議が開催された。,Contradiction,0.0416666666666666,SINGLE_day_time_12,True,Forward Past
1002,25日に会議が開催された。,20日以降会議が開催された。,Entailment,0.1785714285714285,SINGLE_date,True,Forward Past
1006,12日に、会議が開催された。,6日以前、会議が開催された。,Contradiction,0.2142857142857142,SINGLE_date,True,Backward Past
1027,7時に、街は大規模な停電に見舞われた。,午前11時以降、街は大規模な停電に見舞われた。,Contradiction,0.125,MULTI_day_time,True,Backward Past
1045,火曜日に、街は大規模な停電に見舞われた。,金曜日以前、街は大規模な停電に見舞われた。,Entailment,0.4285714285714285,SINGLE_day,True,Backward Past
1053,月曜日以降街は大規模な停電に見舞われた。,火曜日以降街は大規模な停電に見舞われた。,Neutral,0.1428571428571428,SINGLE_day,False,Forward Past
1095,1983年以降、街は大規模な停電に見舞われた。,1958年以前、街は大規模な停電に見舞われた。,Contradiction,0.2475247524752475,SINGLE_year,False,Backward Past
1139,19時以降、街は大規模な停電に見舞われた。,8時以前、街は大規模な停電に見舞われた。,Contradiction,0.4583333333333333,SINGLE_day_time_24,False,Backward Past
1175,午前1時以降、津波が海岸を襲った。,12時以前、津波が海岸を襲った。,Neutral,0.5,MULTI_day_time,False,Backward Past
1177,午前5時以前、津波が海岸を襲った。,9時以降、津波が海岸を襲った。,Contradiction,0.2083333333333333,MULTI_day_time,False,Backward Past
1187,月曜日に、津波が海岸を襲った。,日曜日以前、津波が海岸を襲った。,Contradiction,0.1428571428571428,SINGLE_day,True,Backward Past
1270,13時以降津波が海岸を襲った。,7時以降津波が海岸を襲った。,Entailment,0.25,SINGLE_day_time_24,False,Forward Past
1288,16日に、津波が海岸を襲った。,17日以降、津波が海岸を襲った。,Contradiction,0.0357142857142857,SINGLE_date,True,Backward Past
1317,月曜日以前、このチームはワールドカップで優勝した。,火曜日以降、このチームはワールドカップで優勝した。,Contradiction,0.1428571428571428,SINGLE_day,False,Backward Past
1556,2月以前、国が戒厳令を発令した。,6月以前、国が戒厳令を発令した。,Entailment,0.3333333333333333,SINGLE_month,False,Backward Past
1570,1944年以前国が戒厳令を発令した。,1903年以降国が戒厳令を発令した。,Neutral,0.4059405940594059,SINGLE_year,False,Forward Past
1637,2日以前、国が戒厳令を発令した。,16日以前、国が戒厳令を発令した。,Entailment,0.5,SINGLE_date,False,Backward Past
1705,1991年に、この株の価格がピークに達した。,1936年以降、この株の価格がピークに達した。,Entailment,0.5445544554455446,SINGLE_year,True,Backward Past
1741,11時にこの株の価格がピークに達した。,22時以降この株の価格がピークに達した。,Contradiction,0.4583333333333333,SINGLE_day_time_24,True,Forward Past
1760,19日にこの株の価格がピークに達した。,16日以前この株の価格がピークに達した。,Contradiction,0.1071428571428571,SINGLE_date,True,Forward Past
1844,1976年に倒産した会社が大規模なレイオフを実施した。,1996年以前倒産した会社が大規模なレイオフを実施した。,Entailment,0.198019801980198,SINGLE_year,True,Forward Past
1863,午後5時に倒産した会社が大規模なレイオフを実施した。,午後11時以前倒産した会社が大規模なレイオフを実施した。,Entailment,0.25,SINGLE_day_time_12,True,Forward Past
1899,6時以降、倒産した会社が大規模なレイオフを実施した。,4時以降、倒産した会社が大規模なレイオフを実施した。,Entailment,0.0833333333333333,SINGLE_day_time_24,False,Backward Past
1925,22時に、政府予算が出た。,午後7時以降、政府予算が出た。,Entailment,0.1666666666666666,MULTI_day_time,True,Backward Past
1967,8月に、政府予算が出た。,4月以降、政府予算が出た。,Entailment,0.3333333333333333,SINGLE_month,True,Backward Past
2014,午後7時以降政府予算が出た。,午後6時以前政府予算が出た。,Contradiction,0.0416666666666666,SINGLE_day_time_12,False,Forward Past
2063,3時にその囚人の刑期が終わった。,午前3時以降その囚人の刑期が終わった。,Entailment,0.0416666666666666,MULTI_day_time,True,Forward Past
2088,火曜日に、その囚人の刑期が終わった。,水曜日以前、その囚人の刑期が終わった。,Entailment,0.1428571428571428,SINGLE_day,True,Backward Past
2095,水曜日以降、その囚人の刑期が終わった。,火曜日以降、その囚人の刑期が終わった。,Entailment,0.1428571428571428,SINGLE_day,False,Backward Past
2143,午前10時にその囚人の刑期が終わった。,午前10時以降その囚人の刑期が終わった。,Entailment,0.0,SINGLE_day_time_12,True,Forward Past
2159,午前1時以前、その囚人の刑期が終わった。,午前6時以降、その囚人の刑期が終わった。,Contradiction,0.2083333333333333,SINGLE_day_time_12,False,Backward Past
2173,11時以前その囚人の刑期が終わった。,10時以前その囚人の刑期が終わった。,Neutral,0.0416666666666666,SINGLE_day_time_24,False,Forward Past
2178,16時以降、その囚人の刑期が終わった。,12時以降、その囚人の刑期が終わった。,Entailment,0.1666666666666666,SINGLE_day_time_24,False,Backward Past
2297,午前4時以前、この記事が掲載された。,午後4時以前、この記事が掲載された。,Entailment,0.5,SINGLE_day_time_12,False,Backward Past
2402,1905年に私はこの写真をインスタグラムに投稿した。,1965年以前私はこの写真をインスタグラムに投稿した。,Entailment,0.594059405940594,SINGLE_year,True,Forward Past
2478,24日以前、私はこの写真をインスタグラムに投稿した。,13日以降、私はこの写真をインスタグラムに投稿した。,Neutral,0.3928571428571428,SINGLE_date,False,Backward Past
2642,19時に私の英語の授業が始まった。,午後7時以前私の英語の授業が始まった。,Contradiction,0.0416666666666666,MULTI_day_time,True,Forward Past
2725,12時に、私の英語の授業が始まった。,10時以降、私の英語の授業が始まった。,Entailment,0.0833333333333333,SINGLE_day_time_24,True,Backward Past
2824,3時にコーディング大会が始まった。,1時以前コーディング大会が始まった。,Contradiction,0.0833333333333333,SINGLE_day_time_24,True,Forward Past
2863,午前12時にミーティングが始まった。,9時以前ミーティングが始まった。,Contradiction,0.0833333333333333,MULTI_day_time,True,Forward Past
2871,午後5時以前ミーティングが始まった。,22時以降ミーティングが始まった。,Contradiction,0.25,MULTI_day_time,False,Forward Past
2885,午後9時に、ミーティングが始まった。,午後5時以前、ミーティングが始まった。,Contradiction,0.1666666666666666,SINGLE_day_time_12,True,Backward Past
2931,18時以降私はオフィスでの休暇を開始した。,午後7時以降私はオフィスでの休暇を開始した。,Entailment,0.0,MULTI_day_time,False,Forward Past
2938,18時以降、私はオフィスでの休暇を開始した。,午後12時以降、私はオフィスでの休暇を開始した。,Neutral,0.2083333333333333,MULTI_day_time,False,Backward Past
2964,7月に私はオフィスでの休暇を開始した。,10月以降私はオフィスでの休暇を開始した。,Contradiction,0.25,SINGLE_month,True,Forward Past
2971,7月以前私はオフィスでの休暇を開始した。,2月以降私はオフィスでの休暇を開始した。,Neutral,0.4166666666666667,SINGLE_month,False,Forward Past
3002,9時に私はオフィスでの休暇を開始した。,20時以前私はオフィスでの休暇を開始した。,Entailment,0.4583333333333333,SINGLE_day_time_24,True,Forward Past
3034,19日以前私はオフィスでの休暇を開始した。,20日以前私はオフィスでの休暇を開始した。,Entailment,0.0357142857142857,SINGLE_date,False,Forward Past
3042,木曜日に私は長期休暇を利用して旅立った。,火曜日以前私は長期休暇を利用して旅立った。,Contradiction,0.2857142857142857,SINGLE_day,True,Forward Past
3055,水曜日以前、私は長期休暇を利用して旅立った。,月曜日以降、私は長期休暇を利用して旅立った。,Neutral,0.2857142857142857,SINGLE_day,False,Backward Past
3056,月曜日以前、私は長期休暇を利用して旅立った。,水曜日以降、私は長期休暇を利用して旅立った。,Contradiction,0.2857142857142857,SINGLE_day,False,Backward Past
3071,8月以前私は長期休暇を利用して旅立った。,10月以降私は長期休暇を利用して旅立った。,Contradiction,0.1666666666666666,SINGLE_month,False,Forward Past
3083,2日に私は長期休暇を利用して旅立った。,11日以降私は長期休暇を利用して旅立った。,Contradiction,0.3214285714285714,SINGLE_date,True,Forward Past
3122,4月に気持ちの良い天気が続く。,6月以降気持ちの良い天気が続く。,Contradiction,0.1666666666666666,SINGLE_month,True,Forward Past
3179,金曜日以前、春学期が始まった。,木曜日以降、春学期が始まった。,Neutral,0.1428571428571428,SINGLE_day,False,Backward Past
3192,6月以前春学期が始まった。,9月以降春学期が始まった。,Contradiction,0.25,SINGLE_month,False,Forward Past
3250,水曜日以前私はMSアプリケーションに着手した。,火曜日以降私はMSアプリケーションに着手した。,Neutral,0.1428571428571428,SINGLE_day,False,Forward Past
3263,10月に私はMSアプリケーションに着手した。,6月以降私はMSアプリケーションに着手した。,Entailment,0.3333333333333333,SINGLE_month,True,Forward Past
3294,午後2時以前私はMSアプリケーションに着手した。,午前3時以前私はMSアプリケーションに着手した。,Neutral,0.4583333333333333,SINGLE_day_time_12,False,Forward Past
3338,19日以降、私はMSアプリケーションに着手した。,17日以降、私はMSアプリケーションに着手した。,Entailment,0.0714285714285714,SINGLE_date,False,Backward Past
3375,1月以前、戦争が始まった。,4月以降、戦争が始まった。,Contradiction,0.25,SINGLE_month,False,Backward Past
3384,1906年に戦争が始まった。,1918年以降戦争が始まった。,Contradiction,0.1188118811881188,SINGLE_year,True,Forward Past
3491,1951年以前私の祖父が生まれた。,1982年以降私の祖父が生まれた。,Contradiction,0.3069306930693069,SINGLE_year,False,Forward Past
3512,午前1時以前私の祖父が生まれた。,午前9時以前私の祖父が生まれた。,Entailment,0.3333333333333333,SINGLE_day_time_12,False,Forward Past
3514,午前1時以前私の祖父が生まれた。,午前7時以前私の祖父が生まれた。,Entailment,0.25,SINGLE_day_time_12,False,Forward Past
3515,午前12時以前、私の祖父が生まれた。,午前4時以降、私の祖父が生まれた。,Neutral,0.3333333333333333,SINGLE_day_time_12,False,Backward Past
3573,月曜日以前その国は独裁国家となった。,火曜日以降その国は独裁国家となった。,Contradiction,0.1428571428571428,SINGLE_day,False,Forward Past
3589,1月に、その国は独裁国家となった。,2月以降、その国は独裁国家となった。,Contradiction,0.0833333333333333,SINGLE_month,True,Backward Past
3595,5月以降、その国は独裁国家となった。,3月以降、その国は独裁国家となった。,Entailment,0.1666666666666666,SINGLE_month,False,Backward Past
3599,11月以前、その国は独裁国家となった。,8月以降、その国は独裁国家となった。,Neutral,0.25,SINGLE_month,False,Backward Past
3609,1987年に、その国は独裁国家となった。,1920年以前、その国は独裁国家となった。,Contradiction,0.6633663366336634,SINGLE_year,True,Backward Past
3664,1903年にパンデミックが始まった。,1921年以降パンデミックが始まった。,Contradiction,0.1782178217821782,SINGLE_year,True,Forward Past
3700,午後4時にルークはディナーを食べた。,午前9時以前ルークはディナーを食べた。,Contradiction,0.2916666666666667,SINGLE_day_time_12,True,Forward Past
3790,4時以前メアリーのパーティーが始まった。,0時以前メアリーのパーティーが始まった。,Neutral,0.1666666666666666,SINGLE_day_time_24,False,Forward Past
3798,9時以前、メアリーのパーティーが始まった。,1時以降、メアリーのパーティーが始まった。,Neutral,0.3333333333333333,SINGLE_day_time_24,False,Backward Past
3867,11時に、サーバーがバックアップされた。。,17時以降、サーバーがバックアップされた。。,Contradiction,0.25,SINGLE_day_time_24,True,Backward Past
3968,午前10時に、私たちのお気に入りの朝食レストランが開店した。,1時以降、私たちのお気に入りの朝食レストランが開店した。,Entailment,0.3333333333333333,MULTI_day_time,True,Backward Past
3979,11時以降、私たちのお気に入りの朝食レストランが開店した。,午前11時以降、私たちのお気に入りの朝食レストランが開店した。,Entailment,0.0416666666666666,MULTI_day_time,False,Backward Past
4006,6月に、私たちのお気に入りの朝食レストランが開店した。,6月以降、私たちのお気に入りの朝食レストランが開店した。,Entailment,0.0,SINGLE_month,True,Backward Past
4017,7月以前、私たちのお気に入りの朝食レストランが開店した。,8月以降、私たちのお気に入りの朝食レストランが開店した。,Contradiction,0.0833333333333333,SINGLE_month,False,Backward Past
4032,1998年以降私たちのお気に入りの朝食レストランが開店した。,1904年以前私たちのお気に入りの朝食レストランが開店した。,Contradiction,0.9306930693069309,SINGLE_year,False,Forward Past
4036,1947年以前、私たちのお気に入りの朝食レストランが開店した。,1986年以降、私たちのお気に入りの朝食レストランが開店した。,Contradiction,0.3861386138613861,SINGLE_year,False,Backward Past
4115,午後10時以降、大統領がスピーチをした。,11時以前、大統領がスピーチをした。,Contradiction,0.4166666666666667,MULTI_day_time,False,Backward Past
4166,4時に、大統領がスピーチをした。,15時以前、大統領がスピーチをした。,Entailment,0.4583333333333333,SINGLE_day_time_24,True,Backward Past
4175,3時以前、大統領がスピーチをした。,10時以降、大統領がスピーチをした。,Contradiction,0.2916666666666667,SINGLE_day_time_24,False,Backward Past
4178,10時以降、大統領がスピーチをした。,16時以前、大統領がスピーチをした。,Neutral,0.25,SINGLE_day_time_24,False,Backward Past
4192,1日以降大統領がスピーチをした。,6日以前大統領がスピーチをした。,Neutral,0.1785714285714285,SINGLE_date,False,Forward Past
4214,6時以降公園が開いた。,午前11時以降公園が開いた。,Neutral,0.1666666666666666,MULTI_day_time,False,Forward Past
4236,木曜日以降、公園が開いた。,月曜日以降、公園が開いた。,Entailment,0.4285714285714285,SINGLE_day,False,Backward Past
4241,1月に公園が開いた。,5月以前公園が開いた。,Entailment,0.3333333333333333,SINGLE_month,True,Forward Past
4245,11月に、公園が開いた。,10月以前、公園が開いた。,Contradiction,0.0833333333333333,SINGLE_month,True,Backward Past
4333,18日以前公園が開いた。,24日以降公園が開いた。,Contradiction,0.2142857142857142,SINGLE_date,False,Forward Past
4334,13日以降公園が開いた。,9日以降公園が開いた。,Entailment,0.1428571428571428,SINGLE_date,False,Forward Past
4491,午前9時以降最終成績の提出期限が来た。,午前11時以降最終成績の提出期限が来た。,Neutral,0.0833333333333333,SINGLE_day_time_12,False,Forward Past
4513,6時以前最終成績の提出期限が来た。,9時以降最終成績の提出期限が来た。,Contradiction,0.125,SINGLE_day_time_24,False,Forward Past
4514,4時以前最終成績の提出期限が来た。,7時以前最終成績の提出期限が来た。,Entailment,0.125,SINGLE_day_time_24,False,Forward Past
4541,火曜日にケンドリックのアルバムが発売された。,水曜日以前ケンドリックのアルバムが発売された。,Entailment,0.1428571428571428,SINGLE_day,True,Forward Past
4574,5月以前ケンドリックのアルバムが発売された。,11月以前ケンドリックのアルバムが発売された。,Entailment,0.5,SINGLE_month,False,Forward Past
4592,1968年以降ケンドリックのアルバムが発売された。,1914年以降ケンドリックのアルバムが発売された。,Entailment,0.5346534653465347,SINGLE_year,False,Forward Past
4694,3日以降大統領選挙が行われた。,14日以降大統領選挙が行われた。,Neutral,0.3928571428571428,SINGLE_date,False,Forward Past
4762,13時に大家さんが家賃を徴収した。,18時以前大家さんが家賃を徴収した。,Entailment,0.2083333333333333,SINGLE_day_time_24,True,Forward Past
4786,10日に、大家さんが家賃を徴収した。,12日以前、大家さんが家賃を徴収した。,Entailment,0.0714285714285714,SINGLE_date,True,Backward Past
4815,6時以前、私たちは自転車に乗った。,午前12時以前、私たちは自転車に乗った。,Entailment,0.2083333333333333,MULTI_day_time,False,Backward Past
4897,9日以降、私たちは自転車に乗った。,7日以前、私たちは自転車に乗った。,Contradiction,0.0714285714285714,SINGLE_date,False,Backward Past
4908,月曜日に、Appleは新しいiPhoneを発売した。,水曜日以降、Appleは新しいiPhoneを発売した。,Contradiction,0.2857142857142857,SINGLE_day,True,Backward Past
5000,4日にジェークは引っ越した。,1日以降ジェークは引っ越した。,Entailment,0.1071428571428571,SINGLE_date,True,Forward Past
5026,午後12時に、診察の予定が入っていた。,20時以前、診察の予定が入っていた。,Contradiction,0.125,MULTI_day_time,True,Backward Past
5043,金曜日に診察の予定が入っていた。,水曜日以降診察の予定が入っていた。,Entailment,0.2857142857142857,SINGLE_day,True,Forward Past
5065,午後1時に、診察の予定が入っていた。,午前7時以降、診察の予定が入っていた。,Entailment,0.25,SINGLE_day_time_12,True,Backward Past
5068,午後8時に、診察の予定が入っていた。,午後5時以降、診察の予定が入っていた。,Entailment,0.125,SINGLE_day_time_12,True,Backward Past
5121,日曜日に彼らは結婚するでしょう。,月曜日以前彼らは結婚するでしょう。,Entailment,0.1428571428571428,SINGLE_day,True,Forward Future
5155,3月以降、彼らは結婚するでしょう。,6月以降、彼らは結婚するでしょう。,Neutral,0.25,SINGLE_month,False,Backward Future
5160,1906年に彼らは結婚するでしょう。,1973年以降彼らは結婚するでしょう。,Contradiction,0.6633663366336634,SINGLE_year,True,Forward Future
5172,1979年以前彼らは結婚するでしょう。,1916年以降彼らは結婚するでしょう。,Neutral,0.6237623762376238,SINGLE_year,False,Forward Future
5177,1992年以降、彼らは結婚するでしょう。,1939年以前、彼らは結婚するでしょう。,Contradiction,0.5247524752475248,SINGLE_year,False,Backward Future
5251,1977年以降私たちはディズニーランドに行くでしょう。,1960年以降私たちはディズニーランドに行くでしょう。,Entailment,0.1683168316831683,SINGLE_year,False,Forward Future
5255,1955年以降、私たちはディズニーランドに行くでしょう。,1914年以降、私たちはディズニーランドに行くでしょう。,Entailment,0.4059405940594059,SINGLE_year,False,Backward Future
5265,13日に、私たちはディズニーランドに行くでしょう。,20日以前、私たちはディズニーランドに行くでしょう。,Entailment,0.25,SINGLE_date,True,Backward Future
5286,金曜日に、マイケルは家を買うでしょう。,水曜日以前、マイケルは家を買うでしょう。,Contradiction,0.2857142857142857,SINGLE_day,True,Backward Future
5337,1910年以降、マイケルは家を買うでしょう。,1996年以降、マイケルは家を買うでしょう。,Neutral,0.8514851485148515,SINGLE_year,False,Backward Future
5338,1988年以降、マイケルは家を買うでしょう。,1902年以前、マイケルは家を買うでしょう。,Contradiction,0.8514851485148515,SINGLE_year,False,Backward Future
5343,11日にマイケルは家を買うでしょう。,6日以前マイケルは家を買うでしょう。,Contradiction,0.1785714285714285,SINGLE_date,True,Forward Future
5379,17時以前、リリーは飛行機でニューヨークに行くでしょう。,午後8時以降、リリーは飛行機でニューヨークに行くでしょう。,Contradiction,0.0833333333333333,MULTI_day_time,False,Backward Future
5403,5月にリリーは飛行機でニューヨークに行くでしょう。,1月以降リリーは飛行機でニューヨークに行くでしょう。,Entailment,0.3333333333333333,SINGLE_month,True,Forward Future
5424,1976年にリリーは飛行機でニューヨークに行くでしょう。,1951年以前リリーは飛行機でニューヨークに行くでしょう。,Contradiction,0.2475247524752475,SINGLE_year,True,Forward Future
5429,1901年に、リリーは飛行機でニューヨークに行くでしょう。,1916年以降、リリーは飛行機でニューヨークに行くでしょう。,Contradiction,0.1485148514851485,SINGLE_year,True,Backward Future
5430,1995年以降リリーは飛行機でニューヨークに行くでしょう。,1938年以前リリーは飛行機でニューヨークに行くでしょう。,Contradiction,0.5643564356435643,SINGLE_year,False,Forward Future
5447,午前3時に、リリーは飛行機でニューヨークに行くでしょう。,午前2時以前、リリーは飛行機でニューヨークに行くでしょう。,Contradiction,0.0416666666666666,SINGLE_day_time_12,True,Backward Future
5474,8時以降リリーは飛行機でニューヨークに行くでしょう。,3時以前リリーは飛行機でニューヨークに行くでしょう。,Contradiction,0.2083333333333333,SINGLE_day_time_24,False,Forward Future
5515,21時以降、音楽コンサートが始まるでしょう。,午前11時以降、音楽コンサートが始まるでしょう。,Entailment,0.4583333333333333,MULTI_day_time,False,Backward Future
5519,午前11時以前、音楽コンサートが始まるでしょう。,15時以前、音楽コンサートが始まるでしょう。,Entailment,0.2083333333333333,MULTI_day_time,False,Backward Future
5569,午後3時に、音楽コンサートが始まるでしょう。,午後12時以前、音楽コンサートが始まるでしょう。,Entailment,0.375,SINGLE_day_time_12,True,Backward Future
5572,午前5時以前音楽コンサートが始まるでしょう。,午前9時以降音楽コンサートが始まるでしょう。,Contradiction,0.1666666666666666,SINGLE_day_time_12,False,Forward Future
5595,22時以前、音楽コンサートが始まるでしょう。,23時以前、音楽コンサートが始まるでしょう。,Entailment,0.0416666666666666,SINGLE_day_time_24,False,Backward Future
5604,17日に音楽コンサートが始まるでしょう。,25日以降音楽コンサートが始まるでしょう。,Contradiction,0.2857142857142857,SINGLE_date,True,Forward Future
5712,6時以降トラが目撃されるでしょう。,9時以前トラが目撃されるでしょう。,Neutral,0.125,SINGLE_day_time_24,False,Forward Future
5716,11時以前、トラが目撃されるでしょう。,8時以降、トラが目撃されるでしょう。,Neutral,0.125,SINGLE_day_time_24,False,Backward Future
5717,11時以降、トラが目撃されるでしょう。,1時以前、トラが目撃されるでしょう。,Contradiction,0.4166666666666667,SINGLE_day_time_24,False,Backward Future
5725,27日に、トラが目撃されるでしょう。,16日以降、トラが目撃されるでしょう。,Entailment,0.3928571428571428,SINGLE_date,True,Backward Future
5767,土曜日に、私は友人とディナーを食べるでしょう。,金曜日以降、私は友人とディナーを食べるでしょう。,Entailment,0.1428571428571428,SINGLE_day,True,Backward Future
5781,午前11時に私は友人とディナーを食べるでしょう。,午後6時以前私は友人とディナーを食べるでしょう。,Entailment,0.2916666666666667,SINGLE_day_time_12,True,Forward Future
5818,3時以降、私は友人とディナーを食べるでしょう。,15時以前、私は友人とディナーを食べるでしょう。,Neutral,0.5,SINGLE_day_time_24,False,Backward Future
5830,23日以降私は友人とディナーを食べるでしょう。,25日以降私は友人とディナーを食べるでしょう。,Neutral,0.0714285714285714,SINGLE_date,False,Forward Future
5899,4月以前、彼は仕事を辞めるでしょう。,4月以降、彼は仕事を辞めるでしょう。,Neutral,0.0,SINGLE_month,False,Backward Future
5911,午前10時以降彼は仕事を辞めるでしょう。,午後10時以前彼は仕事を辞めるでしょう。,Neutral,0.5,SINGLE_day_time_12,False,Forward Future
5928,4時に、彼は仕事を辞めるでしょう。,1時以前、彼は仕事を辞めるでしょう。,Contradiction,0.125,SINGLE_day_time_24,True,Backward Future
6054,午後11時以降会議が開催されるでしょう。,午後10時以降会議が開催されるでしょう。,Entailment,0.0416666666666666,SINGLE_day_time_12,False,Forward Future
6057,午前12時以降、会議が開催されるでしょう。,午前11時以前、会議が開催されるでしょう。,Contradiction,0.0416666666666666,SINGLE_day_time_12,False,Backward Future
6061,1時に会議が開催されるでしょう。,9時以降会議が開催されるでしょう。,Contradiction,0.3333333333333333,SINGLE_day_time_24,True,Forward Future
6075,5時以前、会議が開催されるでしょう。,14時以前、会議が開催されるでしょう。,Entailment,0.375,SINGLE_day_time_24,False,Backward Future
6085,17日に、会議が開催されるでしょう。,13日以前、会議が開催されるでしょう。,Contradiction,0.1428571428571428,SINGLE_date,True,Backward Future
6107,4時に、街は大規模な停電に見舞われるでしょう。,午前10時以降、街は大規模な停電に見舞われるでしょう。,Contradiction,0.2083333333333333,MULTI_day_time,True,Backward Future
6156,午後1時以前、街は大規模な停電に見舞われるでしょう。,午後8時以前、街は大規模な停電に見舞われるでしょう。,Entailment,0.2916666666666667,SINGLE_day_time_12,False,Backward Future
6195,4日以前、街は大規模な停電に見舞われるでしょう。,18日以降、街は大規模な停電に見舞われるでしょう。,Contradiction,0.5,SINGLE_date,False,Backward Future
6234,火曜日以前津波が海岸を襲うでしょう。,金曜日以降津波が海岸を襲うでしょう。,Contradiction,0.4285714285714285,SINGLE_day,False,Forward Future
6235,土曜日以降、津波が海岸を襲うでしょう。,木曜日以前、津波が海岸を襲うでしょう。,Contradiction,0.2857142857142857,SINGLE_day,False,Backward Future
6251,5月以降津波が海岸を襲うでしょう。,2月以降津波が海岸を襲うでしょう。,Entailment,0.25,SINGLE_month,False,Forward Future
6276,午後4時以前、津波が海岸を襲うでしょう。,午後7時以前、津波が海岸を襲うでしょう。,Entailment,0.125,SINGLE_day_time_12,False,Backward Future
6369,1960年に、このチームはワールドカップで優勝するでしょう。,1986年以降、このチームはワールドカップで優勝するでしょう。,Contradiction,0.2574257425742574,SINGLE_year,True,Backward Future
6407,午後1時に、彼女のgoogleでのインターンシップが始まるでしょう。,15時以降、彼女のgoogleでのインターンシップが始まるでしょう。,Contradiction,0.125,MULTI_day_time,True,Backward Future
